seed,maximum observed yield
596608,98.38
235373,98.38
842510,98.38
574891,98.38
476974,98.38
167894,98.38
793604,98.38
396402,98.38
257815,98.38
160505,98.38
808228,98.38
94754,98.38
204420,98.38
828598,98.38
390002,98.38
509698,98.38
544563,98.38
798203,98.38
163382,98.38
902486,98.38
394552,98.38
85587,98.38
246631,98.38
207686,98.38
656836,98.38
289887,98.38
146856,98.38
663716,98.38
269048,98.38
277813,98.38
329956,98.38
443478,98.38
194190,98.38
470831,98.38
918995,98.38
432997,98.38
349415,98.38
243033,98.38
242823,98.38
693935,98.38
399246,98.38
472992,98.38
806301,98.38
33903,98.38
260527,98.38
619340,98.38
232230,98.38
813410,98.38
574814,98.38
117302,98.38
