,method,0,1,2,3,4,5,6,7,8,9,10
0,EI,90.33,94.01,94.15,96.04,96.04,96.04,96.04,96.04,96.04,96.04,96.04
1,EI,82.32,91.65,91.65,93.82,95.31,98.69,98.69,98.69,98.69,98.69,98.69
2,EI,94.6,94.6,95.65,95.65,95.95,98.2,98.2,98.2,98.2,98.2,98.2
3,EI,92.13,93.7,98.2,98.2,98.2,98.69,98.69,98.69,98.69,98.69,98.69
4,EI,90.6,96.05,97.98,97.98,99.15,99.15,99.15,99.15,99.15,99.15,99.15
5,EI,93.79,96.28,99.15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,EI,96.6,97.45,97.45,98.53,98.53,98.53,98.53,98.53,98.53,98.69,98.69
7,EI,75.63,91.88,91.88,94.67,97.83,97.83,97.83,97.83,97.83,97.83,97.83
8,EI,30.63,38.04,88.23,89.89,91.77,94.83,99.15,99.15,99.15,99.15,99.15
9,EI,89.96,91.77,94.33,94.33,94.33,94.33,95.95,96.04,96.04,98.69,98.69
10,EI,92.3,92.52,93.44,96.2,96.2,96.2,96.2,96.74,98.69,98.69,98.69
11,EI,95.37,95.37,95.37,96.74,96.74,96.74,98.69,98.69,98.69,98.69,98.69
12,EI,93.44,94.26,94.26,94.26,99.05,99.05,99.05,99.05,99.15,99.15,99.15
13,EI,89.93,91.96,91.96,91.96,94.7,98.2,98.69,98.69,98.69,98.69,98.69
14,EI,70.45,90.61,91.32,97.32,97.32,98.53,98.53,98.53,98.53,98.53,98.53
15,EI,80.65,93.82,96.74,96.74,96.74,98.69,98.69,98.69,98.69,98.69,98.69
16,EI,83.83,94.47,94.47,94.47,96.74,96.74,98.69,98.69,98.69,98.69,98.69
17,EI,94.85,97.09,97.09,97.09,97.09,97.09,97.09,97.09,97.09,97.98,99.15
18,EI,94.13,94.83,94.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
19,EI,97.45,97.45,97.45,98.53,98.53,98.69,98.69,98.69,98.69,98.69,98.69
20,EI,77.29,96.3,96.3,98.2,98.2,98.69,98.69,98.69,98.69,98.69,98.69
21,EI,90.3,96.89,97.29,97.29,97.29,97.83,97.83,97.83,97.83,98.2,98.2
22,EI,82.07,82.07,93.99,96.89,96.89,96.89,97.29,97.83,97.83,97.83,97.83
23,EI,92.83,92.83,95.8,95.8,95.85,95.85,95.85,95.85,95.85,95.85,95.85
24,EI,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25,EI,91.59,91.59,92.54,92.54,94.7,98.69,99.05,100.0,100.0,100.0,100.0
26,EI,65.61,86.31,94.41,99.15,99.15,99.15,99.15,100.0,100.0,100.0,100.0
27,EI,90.92,97.09,97.09,97.09,97.09,97.09,97.09,97.09,97.42,98.2,98.2
28,EI,82.98,91.89,94.82,94.82,98.2,98.69,98.69,98.69,98.69,98.69,98.69
29,EI,93.28,93.28,93.28,94.08,94.33,94.83,94.83,98.69,98.69,98.69,98.69
30,EI,44.69,82.62,88.09,93.09,96.28,99.15,99.15,99.15,100.0,100.0,100.0
31,EI,98.53,98.53,98.53,98.53,98.53,98.53,98.53,98.69,98.69,98.69,98.69
32,EI,93.62,93.62,93.62,94.47,94.47,94.82,94.82,94.82,95.97,96.14,96.14
33,EI,94.71,94.71,98.2,98.69,98.69,98.69,98.69,98.69,98.69,98.69,98.69
34,EI,86.11,92.07,94.33,94.33,94.33,94.33,94.83,100.0,100.0,100.0,100.0
35,EI,93.94,93.94,93.94,94.64,96.3,96.3,96.3,96.3,96.3,96.74,98.2
36,EI,90.92,91.24,91.24,94.33,98.2,98.69,98.69,98.69,98.69,98.69,99.05
37,EI,70.14,89.8,95.85,95.85,95.85,95.85,97.09,97.09,97.09,97.09,97.09
38,EI,71.16,94.82,95.85,95.85,98.2,98.2,98.69,98.69,98.69,98.69,98.69
39,EI,68.62,68.62,89.29,96.74,98.69,98.69,98.69,98.69,98.69,98.69,98.69
40,EI,79.94,91.7,96.02,97.09,97.09,97.09,97.09,97.09,97.09,97.42,98.2
41,EI,91.47,91.96,94.33,94.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0
42,EI,86.97,93.95,99.05,99.15,99.15,99.15,100.0,100.0,100.0,100.0,100.0
