seed,maximum observed yield
670487,98.69
116739,98.69
26225,98.69
777572,98.69
288389,98.2
256787,98.69
234053,98.69
146316,100.0
772246,98.69
107473,99.15
709570,100.0
776646,98.69
935518,100.0
571858,98.53
91161,98.69
619176,98.53
442417,98.69
33326,98.69
31244,98.69
98246,98.69
229258,100.0
243962,98.69
529903,98.42
631262,98.53
27824,98.69
588508,96.38
208496,98.69
750800,98.69
681453,98.53
735392,98.69
571412,99.15
439898,98.53
231148,99.15
471029,98.69
617889,100.0
291704,98.69
848749,98.69
911527,98.53
6814,98.69
795667,100.0
844962,98.69
167414,100.0
732052,100.0
443143,95.85
356778,100.0
291369,98.69
163032,97.09
225772,98.69
800581,98.69
352944,98.42
