seed,maximum observed yield
670487,98.69
116739,98.69
26225,98.69
777572,100.0
288389,98.2
256787,98.69
234053,98.69
146316,98.69
772246,98.69
107473,98.69
709570,100.0
776646,98.69
935518,98.69
571858,98.69
91161,98.69
619176,98.69
442417,98.69
33326,98.69
31244,96.2
98246,98.69
229258,98.69
243962,98.69
529903,98.69
631262,98.53
27824,99.15
588508,98.69
208496,99.15
750800,98.2
681453,100.0
735392,95.88
571412,99.15
439898,98.69
231148,98.69
471029,98.69
617889,100.0
291704,99.15
848749,98.69
911527,98.69
6814,100.0
795667,100.0
844962,98.69
167414,98.2
732052,100.0
443143,96.04
356778,100.0
291369,99.15
163032,99.15
225772,96.38
800581,98.69
352944,100.0
