seed,maximum observed yield
670487,96.74
116739,98.42
26225,98.69
777572,97.45
288389,98.69
256787,98.69
234053,99.05
146316,94.64
772246,100.0
107473,98.69
709570,97.09
776646,100.0
935518,98.2
571858,98.53
91161,98.69
619176,99.15
442417,96.49
33326,97.42
31244,99.15
98246,99.05
229258,93.13
243962,97.83
529903,98.2
631262,95.99
27824,98.69
588508,96.04
208496,100.0
750800,96.14
681453,98.2
735392,98.53
571412,100.0
439898,99.05
231148,98.69
471029,98.2
617889,100.0
291704,96.74
848749,100.0
911527,100.0
6814,98.69
795667,96.57
844962,100.0
167414,100.0
732052,95.95
443143,100.0
356778,100.0
291369,100.0
163032,99.05
225772,98.42
800581,95.06
352944,99.15
