seed,maximum observed yield
670487,94.46
116739,100.0
26225,98.69
777572,93.65
288389,90.79
256787,95.96
234053,96.97
146316,93.82
772246,93.55
107473,96.2
709570,95.34
776646,99.05
935518,94.88
571858,96.38
91161,92.53
619176,96.19
442417,96.16
33326,97.45
31244,96.38
98246,96.75
229258,95.49
243962,96.48
529903,91.15
631262,98.69
27824,98.61
588508,97.83
208496,95.58
750800,93.45
681453,95.5
735392,95.93
571412,96.57
439898,96.97
231148,91.35
471029,96.49
617889,93.43
291704,94.26
848749,94.76
911527,95.88
6814,93.82
795667,93.67
844962,93.79
167414,96.14
732052,96.19
443143,94.67
356778,96.15
291369,96.97
163032,97.42
225772,94.6
800581,95.65
352944,93.05
