seed,maximum observed yield
102530,98.69
361501,99.15
742863,100.0
656525,98.69
907193,98.69
758191,96.3
754529,98.69
968841,100.0
158499,96.2
76879,98.69
858778,98.69
18957,100.0
556688,99.05
78622,98.69
961344,98.69
41460,100.0
238411,98.69
654114,98.69
464033,100.0
893077,99.15
758444,100.0
829158,98.69
289475,98.69
963598,100.0
960431,100.0
976038,99.15
586347,98.69
215106,98.69
847747,96.32
552856,100.0
591529,98.69
945344,98.69
106465,98.69
99278,100.0
169294,98.69
238157,98.53
249453,98.69
676905,99.15
925581,100.0
686181,100.0
236053,98.69
481839,98.69
449403,98.69
333396,99.15
603274,97.09
798917,97.45
615223,98.69
788805,98.53
381255,98.53
63160,98.69
