seed,maximum observed yield,yield 1,yield 2,yield 3,Mean,Min,Max
158499,96.2,85.21,15.16,55.34,51.90333333,15.16,85.21
758191,96.3,9.19,3.26,50.91,21.12,3.26,50.91
847747,96.32,24.5,87.06,61.95,57.83666667,24.5,87.06
603274,97.09,17.86,2.06,87.84,35.92,2.06,87.84
798917,97.45,19.22,31.27,55.28,35.25666667,19.22,55.28
238157,98.53,19.82,91.32,1.25,37.46333333,1.25,91.32
788805,98.53,42.54,92.09,17.59,50.74,17.59,92.09
381255,98.53,29.62,43.15,35.42,36.06333333,29.62,43.15
102530,98.69,2.45,80.07,78.26,53.59333333,2.45,80.07
656525,98.69,14.5,60.33,10.45,28.42666667,10.45,60.33
907193,98.69,19.1,15.72,80.65,38.49,15.72,80.65
754529,98.69,64.78,12.75,89.42,55.65,12.75,89.42
76879,98.69,88.05,83.96,12.62,61.54333333,12.62,88.05
858778,98.69,14.49,47.92,28.11,30.17333333,14.49,47.92
78622,98.69,16.47,93.79,9.64,39.96666667,9.64,93.79
961344,98.69,52.95,31.58,14.61,33.04666667,14.61,52.95
238411,98.69,6.25,3.16,26.1,11.83666667,3.16,26.1
654114,98.69,93.05,82.19,22.24,65.82666667,22.24,93.05
829158,98.69,77.72,16.66,31.86,42.08,16.66,77.72
289475,98.69,92.96,63.2,37.86,64.67333333,37.86,92.96
586347,98.69,71.62,16.65,90.29,59.52,16.65,90.29
215106,98.69,15.57,3.3,48.61,22.49333333,3.3,48.61
591529,98.69,88.24,96.7,44.98,76.64,44.98,96.7
945344,98.69,66.86,90.39,67.26,74.83666667,66.86,90.39
106465,98.69,15.8,3.69,59.67,26.38666667,3.69,59.67
169294,98.69,81.25,6.48,78.77,55.5,6.48,81.25
249453,98.69,35.15,0,59.71,31.62,0,59.71
236053,98.69,40.03,12.89,23.15,25.35666667,12.89,40.03
481839,98.69,54.09,67.08,6.65,42.60666667,6.65,67.08
449403,98.69,82.99,13.21,93.3,63.16666667,13.21,93.3
615223,98.69,15.83,86.51,23.62,41.98666667,15.83,86.51
63160,98.69,66.16,13.71,20.49,33.45333333,13.71,66.16
556688,99.05,54.06,12.62,24.1,30.26,12.62,54.06
361501,99.15,18.27,20.12,16.25,18.21333333,16.25,20.12
893077,99.15,18.41,94.01,10.75,41.05666667,10.75,94.01
976038,99.15,22.92,67.16,82.62,57.56666667,22.92,82.62
676905,99.15,72.09,20.16,85.64,59.29666667,20.16,85.64
333396,99.15,77.41,31.51,38.51,49.14333333,31.51,77.41
742863,100,88.71,10.67,55.62,51.66666667,10.67,88.71
968841,100,88.99,12.89,22.2,41.36,12.89,88.99
18957,100,8.11,62.56,46.37,39.01333333,8.11,62.56
41460,100,0.8,93.44,23.64,39.29333333,0.8,93.44
464033,100,20.9,59.73,90.79,57.14,20.9,90.79
758444,100,87,78.78,11.79,59.19,11.79,87
963598,100,23.33,68.64,4.46,32.14333333,4.46,68.64
960431,100,9.92,16.82,92.43,39.72333333,9.92,92.43
552856,100,15.32,5.34,14.4,11.68666667,5.34,15.32
99278,100,60.49,48.8,56.38,55.22333333,48.8,60.49
925581,100,79.46,77.57,67.2,74.74333333,67.2,79.46
686181,100,24.98,44.69,85.42,51.69666667,24.98,85.42
