seed,maximum observed yield
27750,98.69
321423,98.69
233969,97.45
569736,94.33
972445,100.0
581904,98.2
327965,97.83
380982,99.15
137398,98.69
873275,98.69
261479,98.2
105914,98.69
825668,98.2
275572,96.04
149365,97.45
126803,98.2
631439,98.53
181627,99.05
887521,96.7
281695,100.0
357965,98.69
360390,96.48
188313,100.0
100092,99.15
500454,99.15
391936,99.15
117691,99.15
649239,100.0
931908,98.69
948508,96.04
371597,96.97
839977,96.74
756802,96.04
516011,96.14
127893,98.69
992364,100.0
893449,98.69
564255,99.15
997443,98.69
505137,100.0
459042,96.75
481351,96.14
313357,96.3
831930,98.69
314115,100.0
792032,98.69
510590,98.2
963355,99.15
888214,99.15
944737,100.0
