seed,maximum observed yield
833086,99.15
183995,99.15
641650,100.0
150032,98.61
181137,99.15
447128,98.53
658623,100.0
561780,97.83
985651,98.2
814928,98.42
794050,99.15
569875,98.69
520656,99.15
737543,100.0
529821,100.0
901132,96.38
742300,98.2
883837,98.69
677585,98.69
232869,98.69
903495,98.69
704193,98.42
544296,98.69
445096,98.53
870800,98.69
900102,98.2
435654,98.2
534617,98.69
587858,97.83
931879,97.83
541811,98.69
543713,98.42
20967,99.15
900491,98.69
590467,98.69
654515,99.15
107784,100.0
527738,100.0
491717,96.3
585522,98.69
910589,98.69
89575,95.97
670603,98.42
183430,98.69
820369,98.69
361550,98.69
824553,98.69
406348,98.53
772372,98.69
397806,100.0
