seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,yield 9,yield 10,Mean,Min,Max
890350,94.82,6.6,8.89,7.45,5.97,8.82,10.92,7,1.48,2.23,10.08,6.944,1.48,10.92
889724,95.85,9.94,11.13,9.76,9.06,4.69,2.49,11.47,11.2,2.56,6.27,7.857,2.49,11.47
12851,96.04,10.87,10.42,6.28,7.37,5.82,5.84,4.69,7.2,10.41,7.88,7.678,4.69,10.87
600059,96.76,2.27,6.65,4.36,9.94,7.73,11.46,0.64,6.27,5.93,9.39,6.464,0.64,11.46
307041,96.97,6.81,10.42,10.74,7.82,9.92,6.28,7.39,8.67,3.95,3.82,7.582,3.82,10.74
460469,97.09,4.47,1.82,9.21,0,1.99,9.94,7.47,8.72,9.72,9.64,6.298,0,9.94
996221,97.09,8.53,3.28,11.47,3.35,6.27,11.68,10.92,1.79,10.1,1.21,6.86,1.21,11.68
619246,97.83,4.63,1.38,9.51,7.47,0.96,3.32,7.88,9.48,6.7,10.18,6.151,0.96,10.18
904580,97.83,10.18,7.82,5.3,6.86,10.09,10.16,2.62,4.66,5.84,0,6.353,0,10.18
993604,97.83,1.95,10.59,8.14,10.22,4.12,3.64,11.64,6.71,4.25,9.19,7.045,1.95,11.64
750380,97.83,3.25,3.03,7.24,5.87,0.7,2.71,4.66,3.54,1.48,3.69,3.617,0.7,7.24
526499,98.2,3.26,11.2,7.73,3.03,8.15,10.48,3.57,11.45,3.5,9.49,7.186,3.03,11.45
82138,98.53,11.6,10.22,2.23,0.93,0.7,8.04,10.88,3.28,0.56,6.26,5.47,0.56,11.6
933901,98.69,9.62,6.81,3.02,6.71,4.6,1.32,4.82,8.67,8.19,4.02,5.778,1.32,9.62
429290,98.69,9.74,5.87,3.5,0,9.92,10.61,5.97,9.51,5.82,8.09,6.903,0,10.61
965113,98.69,1.05,7.07,11.14,4.63,3.82,11.38,10.11,10.18,3.54,6.84,6.976,1.05,11.38
447806,98.69,6.61,7.37,8.14,4.82,7.08,2.43,4.25,6.7,9.25,4.69,6.134,2.43,9.25
68396,98.69,1.05,10.77,10.33,7.62,7.37,2.62,1.02,6.25,10.88,5.3,6.321,1.02,10.88
645985,98.69,7.55,11.68,5.37,5.15,9.25,10.42,7.09,0,5.38,11.45,7.334,0,11.68
139619,98.69,6.24,5.14,3.78,7.66,8.15,2.23,3.69,2.35,9.8,11.55,6.059,2.23,11.55
221791,98.69,3.03,6.81,10.22,5.15,2.18,5.49,2.49,9.07,9.63,3.16,5.723,2.18,10.22
587222,98.69,8.86,6.5,8.7,8.71,2.13,7.77,4.25,4.94,3.26,10.59,6.571,2.13,10.59
734975,98.69,11.21,2.11,10.01,7.45,9.7,9.21,10.08,11.38,11.72,7.68,9.055,2.11,11.72
495721,98.69,8.04,5.84,2.43,5.87,7.3,8.11,0,10.18,8.6,9.9,6.627,0,10.18
233287,98.69,4.12,10.41,2.43,2.51,8.79,0.64,1.14,9.94,10.87,9.39,6.024,0.64,10.87
386430,98.69,11.68,3.69,2.54,3.03,3.88,9.88,5.8,7.16,0.7,9.9,5.826,0.7,11.68
664891,98.69,4.94,2.71,9.94,6.46,10.87,1.99,1.95,10.41,7.16,4.82,6.125,1.95,10.87
507033,98.69,1.41,7.85,2.43,7.3,3.32,10.11,5.6,4.75,0.5,6.45,4.972,0.5,10.11
195583,98.69,1.22,2.27,8.6,9.29,4.25,4.94,0,2.23,5.82,9.54,4.816,0,9.54
646508,98.69,2.45,6.25,10.42,3.82,5.15,9.39,2.23,5.82,9.25,9.32,6.41,2.23,10.42
319746,98.69,11.67,3.95,2.58,10.33,2.67,3.3,10.42,3.5,8.89,8.74,6.605,2.58,11.67
933306,98.69,11.12,6.25,3.82,3,9.8,10.67,0.64,9.9,9.99,6.14,7.133,0.64,11.12
139966,98.69,4.73,7.68,5.2,9.28,0,10.48,0,11.46,4.75,4.66,5.824,0,11.46
933838,99.15,1.32,7.56,0.58,2.35,9.54,1.2,5.54,6.5,2.58,0.7,3.787,0.58,9.54
954063,99.15,3.25,8.11,8.67,9.63,11.64,8.74,10.54,11.13,4.46,6.97,8.314,3.25,11.64
