seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,Mean,Min,Max
604999,93.45,4.68,9.94,11.21,6.28,9.39,8.3,4.68,11.21
198050,94.23,2.23,8.72,11.14,3.88,7.67,6.728,2.23,11.14
403713,94.82,6.08,2.11,10.45,9.49,3,6.226,2.11,10.45
96223,95,6.61,7.24,9.28,1.96,1.22,5.262,6.61,9.28
3769,95.85,5.2,7.16,11.67,5.26,11.56,8.17,5.2,11.67
66769,95.85,1.48,2.46,9.63,0,9.54,4.622,1.48,9.63
541127,95.97,9.89,3.3,9.07,7,9.14,7.68,3.3,9.89
598169,96.16,8.83,5.82,9.21,4.36,3.22,6.288,5.82,9.21
891767,96.16,1.41,2.1,5.75,11.12,6.71,5.418,1.41,5.75
308861,96.16,1.96,5.49,10.01,7.68,0,5.028,1.96,10.01
693018,96.42,4.3,4.12,11.18,7.24,0,5.368,4.12,11.18
139408,96.7,9.54,9.25,0.53,3.78,2.06,5.032,0.53,9.54
633733,96.7,2.11,8.83,10.45,3.82,5.45,6.132,2.11,10.45
395556,96.7,6.14,10.54,9.51,5.1,0,6.258,6.14,10.54
943261,96.74,7.73,11.2,6.49,4.69,6.24,7.27,6.49,11.2
487401,96.75,2.13,1.05,10.49,10.42,11.29,7.076,1.05,10.49
259993,97.09,0,2.71,0,10.92,7.82,4.29,0,2.71
349094,97.09,0,3.26,3.82,7.39,0.58,3.01,0,3.82
248186,97.32,8.79,8.8,11.6,7.88,1.05,7.624,8.79,11.6
368674,97.45,9.39,0,10.09,8.09,10.08,7.53,0,10.09
715213,97.45,7.55,9.77,11.38,6.08,8.71,8.698,7.55,11.38
798521,97.45,9.21,8.14,1.05,6.5,4.02,5.784,1.05,9.21
229583,98.2,11.63,10.41,3.78,5.26,3.32,6.88,3.78,11.63
782153,98.2,4.44,5.05,10.08,10.49,0.53,6.118,4.44,10.08
323913,98.2,10.33,4.61,4.25,9.7,10.22,7.822,4.25,10.33
23586,98.53,8.53,3.54,9.03,8.8,9.72,7.924,3.54,9.03
3433,98.53,5.54,3.86,6.11,0,10.59,5.22,3.86,6.11
68653,98.53,10.09,8.19,10.13,11.72,3.95,8.816,8.19,10.13
610123,98.53,11.13,3.82,3.16,4.73,4.66,5.5,3.16,11.13
455157,98.53,10.87,8.04,7.58,3.51,8.15,7.63,7.58,10.87
539173,98.53,3.86,7.86,7.56,9.21,10.87,7.872,3.86,7.86
521636,98.53,6.61,9.74,1.95,9.21,11.6,7.822,1.95,9.74
396066,98.53,2.56,5.76,8.19,1.99,10.22,5.744,2.56,8.19
552170,98.53,11.54,4.47,4.3,9.8,5.49,7.12,4.3,11.54
717713,98.53,7.88,4.6,9.68,3.32,10.74,7.244,4.6,9.68
761335,98.53,6.97,2.96,4.37,4.36,2.51,4.234,2.96,6.97
461053,98.69,9.14,10.52,3.85,8.08,7.45,7.808,3.85,10.52
215265,98.69,6.25,4.63,0,3.85,10.28,5.002,0,6.25
690967,98.69,0.58,5.38,1.99,1.79,4.25,2.798,0.58,5.38
163604,98.69,11.46,11.13,6.14,7.86,8.11,8.94,6.14,11.46
210210,98.69,4.12,9.9,8.67,0.52,7.08,6.058,4.12,9.9
592586,98.69,7.3,8.74,2.71,5.15,4.66,5.712,2.71,8.74
750632,98.69,9.39,11.6,9.9,3.54,6.28,8.142,9.39,11.6
664710,98.69,1.02,9.49,5.93,0,1.79,3.646,1.02,9.49
938765,98.69,3.51,9.05,7.37,5.31,10.87,7.222,3.51,9.05
967456,98.69,10.52,11.14,3.22,4.36,7.73,7.394,3.22,11.14
856408,98.69,0,8.7,5.14,8.72,5.2,5.552,0,8.7
383053,98.69,0,10.88,0,2.1,0,2.596,0,10.88
769994,100,10.92,3.95,5.76,10.77,7.66,7.812,3.95,10.92
991875,100,4.25,5.12,2.96,8.08,4.25,4.932,2.96,5.12
