seed,maximum observed yield
406698,92.82
492396,98.53
346668,98.2
244363,97.83
59202,96.0
497710,98.53
266270,97.83
397158,97.42
479240,100.0
132038,100.0
826295,96.74
776073,97.29
908885,94.03
232093,97.45
932191,97.32
479947,97.98
768104,93.69
961421,96.74
423630,93.12
832745,96.74
839286,98.2
861610,96.7
217339,96.6
621773,98.69
662623,97.45
256027,97.45
55857,99.15
678924,94.33
108709,96.49
216084,97.98
238816,87.64
834122,95.0
119439,96.74
321259,94.8
449937,98.53
774812,99.15
652333,96.75
24177,98.69
200603,91.93
959691,94.57
704748,94.33
494985,97.32
308579,98.53
491698,97.98
58714,96.74
330961,97.09
110963,93.44
843033,75.62
476085,95.0
595658,98.53
