seed,maximum observed yield,yield 1,yield 2,yield 3,yield 4,yield 5,yield 6,yield 7,yield 8,Mean,Min,Max
843033,75.62,2.96,1.19,11.6,4.56,5.2,0.64,2.13,6.7,4.3725,0.64,11.6
238816,87.64,0.93,1.82,7.55,3.03,2.67,5.82,9.88,7.24,4.8675,0.93,9.88
200603,91.93,3.78,1.48,6.24,8.83,7.56,4.3,8.82,2.68,5.46125,1.48,8.83
406698,92.82,1.19,0.52,0,5.84,1.21,1.2,5.75,10.49,3.275,0,10.49
423630,93.12,9.07,5.56,10.67,2.71,4.44,10.18,2.11,4.12,6.1075,2.11,10.67
110963,93.44,7.45,3.28,6.26,7.68,11.48,4.36,9.8,2.23,6.5675,2.23,11.48
768104,93.69,5.8,4.54,3.85,8.07,6.84,3.78,7.85,10.17,6.3625,3.78,10.17
908885,94.03,7.67,5.12,0.64,1.79,11.68,4.6,0,11.43,5.36625,0,11.68
678924,94.33,10.08,1.14,8.26,5.1,6.5,7.8,10.1,1.96,6.3675,1.14,10.1
704748,94.33,4.47,0,3.69,4.36,8.04,5.76,2.11,2.06,3.81125,0,8.04
959691,94.57,8.08,10.1,7.2,11.64,0,7.25,0.58,8.15,6.625,0,11.64
321259,94.8,9.88,9.77,4.44,9.54,6.38,7.88,4.76,1.05,6.7125,1.05,9.88
834122,95,5.56,7.55,11.21,5.27,7.08,5.83,3.25,8.82,6.82125,3.25,11.21
476085,95,6.49,7.24,11.2,7.68,3.82,7.24,1.32,2.35,5.9175,1.32,11.2
59202,96,1.14,0,8.6,7.07,1.98,8.82,8.19,2.54,4.7925,0,8.82
108709,96.49,9.7,1.22,6.86,11.46,5.8,7.39,1.25,7.08,6.345,1.22,11.46
217339,96.6,11.2,6.7,0.99,9.03,1.2,8.74,2.58,4.82,5.6575,0.99,11.2
861610,96.7,8.09,7.85,3.69,0.5,6.14,8.07,3.89,1.48,4.96375,0.5,8.09
826295,96.74,1.6,2.71,7,7.82,9.6,4.47,0,11.47,5.58375,0,11.47
961421,96.74,4.54,0,4.69,4.44,1.82,10.07,4.3,9.06,4.865,0,10.07
832745,96.74,2.43,11.67,2.46,4.66,0.93,4.12,4.25,2.1,4.0775,0.93,11.67
119439,96.74,2.23,10.97,10.18,0,8.7,11.56,6.27,10.17,7.51,0,11.56
58714,96.74,8.53,9.64,5.8,7.3,9.78,7.56,9.03,10.17,8.47625,5.8,10.17
652333,96.75,10.61,2.23,9.06,9.32,3.54,11.46,10.41,7.3,7.99125,2.23,11.46
330961,97.09,3.22,3.51,9.49,10.18,6.69,9.77,6.7,4.73,6.78625,3.22,10.18
776073,97.29,10.52,1.21,11.12,7.62,9.6,9.78,10.72,8.67,8.655,1.21,11.12
932191,97.32,11.47,6.25,6.71,11.12,2.43,5.27,4.32,7.09,6.8325,2.43,11.47
494985,97.32,10.17,4.68,10.48,7,4.36,5.84,0,6.81,6.1675,0,10.48
397158,97.42,8.6,9.92,1.79,7.66,6.28,7.82,7.68,6.48,7.02875,1.79,9.92
232093,97.45,8.04,4.73,4.25,4.61,2.27,7.37,7.58,3.35,5.275,2.27,8.04
662623,97.45,7.25,6.66,7,1.88,11.18,4.66,7.58,7.37,6.6975,1.88,11.18
256027,97.45,1.38,9.76,6.14,11.12,3.86,9.64,7.09,0,6.12375,0,11.12
244363,97.83,5.93,5.87,0,9.68,3.88,1.96,11.13,6.6,5.63125,0,11.13
266270,97.83,8.7,1.02,6.62,5.84,6.61,10.01,9.48,6.81,6.88625,1.02,10.01
479947,97.98,9.99,8.04,4.56,1.02,11.43,2.58,7.16,7.56,6.5425,1.02,11.43
216084,97.98,8.53,10.22,7.16,4.47,9.29,11.56,7.73,2.27,7.65375,2.27,11.56
491698,97.98,6.25,2.23,0.99,10.22,2.68,1.99,6.62,5.27,4.53125,0.99,10.22
346668,98.2,9.28,5.31,7.68,3.28,7.07,9.54,0,2.1,5.5325,0,9.54
839286,98.2,9.29,8.6,4.94,7.56,0.5,9.49,5.82,3.68,6.235,0.5,9.49
492396,98.53,1.19,6.5,0.52,9.54,8.89,11.43,10.07,10.18,7.29,0.52,11.43
497710,98.53,11.48,10.72,11.28,7.39,11.18,4.82,8.67,10.09,9.45375,4.82,11.48
449937,98.53,10.09,8.77,3.78,11.29,0,1.96,3.95,9.68,6.19,0,11.29
308579,98.53,10.59,10.01,1.48,1.22,8.72,6.65,8.6,0,5.90875,0,10.59
595658,98.53,9.19,3.26,3.02,5.1,6.61,5.79,3.3,5.3,5.19625,3.02,9.19
621773,98.69,4.54,9.07,4.12,9.76,9.06,11.14,2.56,5.97,7.0275,2.56,11.14
24177,98.69,6.5,10.75,9.89,6.45,8.08,5.76,0,9.72,7.14375,0,10.75
55857,99.15,9.29,2.58,8.09,0,10.08,3.78,8.26,6.45,6.06625,0,10.08
774812,99.15,9.92,5.87,1.25,10.18,10.87,10.42,3.35,6.66,7.315,1.25,10.87
479240,100,6.45,1.88,9.21,3.78,10.77,11.54,4.46,10.03,7.265,1.88,11.54
132038,100,1.6,10.16,0,7.88,9.03,11.38,9.94,0,6.24875,0,11.38
