seed,maximum observed pce
220044,10.4121941
272277,9.990682919
404119,10.19520722
27199,10.79421421
204535,9.990682919
231253,10.52844349
414817,11.1038946
764230,10.52192398
590013,10.89023709
5584,10.62729081
677181,10.44145606
837732,10.18659022
267057,10.87420646
709581,10.8611752
373390,10.52697353
744900,9.786590602
186959,10.3559864
854264,10.69725304
28425,10.34039366
308286,9.927349538
707573,10.75918604
925654,10.33460766
888591,10.38125859
77295,10.47583192
384020,10.01649436
9035,10.58635162
113205,10.26049798
444440,10.37138375
364729,9.826614732
442684,10.19520722
828424,10.87198962
788820,10.47086839
101825,10.9779085
909443,10.69877038
410645,10.44145606
538303,10.58635162
608678,10.6640766
314360,11.05449246
279994,10.57134447
751009,10.41435638
69834,10.63931172
482526,9.881600519
451735,10.61857529
269995,10.33460766
605794,11.04363913
336222,10.38721902
592796,9.974345421
552,10.24695583
759749,10.79421421
743350,9.518709514
,
Average,10.44901946
Deviation,0.358062248
Min,9.518709514
